"campaign_id","campaign_name","channel","date","impressions","clicks","conversions","conversion_rate","cost","revenue","roi","currency"
"CMP-1015","Search Lift Q2","Organic Search","2024-04-03","2500","105","16","0.1523809523809524","0","150","","USD"
"CMP-1016","Organic Outreach","Display Ads","2024-04-03","9000","310","17","0.05483870967741935","106","180","0.7","USD"
"CMP-1017","Display Impact","Affiliate","2024-04-03","3400","125","14","0.112","40","120","2","USD"
"CMP-1018","Affiliate Leads Q2","Direct","2024-04-03","2300","90","11","0.12222222222222222","0","110","","USD"
"CMP202404","Spring Surge 2024","Social Media","2024-05-03","23150","1280","122","0.0953","785.4","1832","1.3332","USD"
"CMP202412","Holiday Blast 2024","Email","2024-05-04","8500","400","62","0.155","270","1100","3.0741","USD"
"CMP202419","Back to School Promo","Display Ads","2024-05-03","18000","900","79","0.0878","925.5","1750","0.8925","USD"
"CMP202405","Q2 Product Launch","Paid Search","2024-05-02","16000","1250","134","0.1072","1200","3500","1.9167","USD"
"CMP202401","Brand Awareness","Organic Search","2024-05-03","9200","800","48","0.06","0","1200","","USD"
"CMP202410","Summer Savings","Affiliate","2024-05-05","12500","620","41","0.0661","410","800","0.9512","USD"
"CMP202413","Flash Sale","Direct","2024-05-04","6900","410","23","0.0561","0","600","","USD"
"CMP202414","VIP Launch","Email","2024-05-05","5400","330","64","0.1939","170","950","4.5882","USD"
"CMP202406","Early Bird Discount","Other","2024-05-02","3000","145","7","0.0483","55","120","1.1818","USD"
"CMP202407","Local Community Drive","Social Media","2024-05-06","9800","480","50","0.1042","330","850","1.5758","USD"
"CMP202408","Winter Clearance","Display Ads","2024-05-06","15200","760","70","0.0921","710","1400","0.9718","USD"
"CMP202409","Refer a Friend","Direct","2024-05-07","5900","295","16","0.0542","0","300","","USD"
"CMP202412","Holiday Blast 2024","Paid Search","2024-05-08","15500","1100","129","0.1173","980","2800","1.8571","USD"
"CMP202404","Spring Surge 2024","Affiliate","2024-05-08","6200","290","19","0.0655","200","410","1.05","USD"
"CMP202419","Back to School Promo","Social Media","2024-05-10","14400","920","102","0.1109","720","1850","1.5694","USD"
"CMP202401","Brand Awareness","Organic Search","2024-05-11","9900","850","54","0.0635","0","1350","","USD"
"CMP202405","Q2 Product Launch","Display Ads","2024-05-12","13100","710","79","0.1113","600","1450","1.4167","USD"
"CMP202410","Summer Savings","Paid Search","2024-05-13","17500","1120","138","0.1232","1150","3250","1.8261","USD"
"CMP202413","Flash Sale","Other","2024-05-14","4200","210","14","0.0667","48","90","0.875","USD"
"CMP202414","VIP Launch","Email","2024-05-15","6200","430","86","0.2","190","1120","4.8947","USD"
"CMP202406","Early Bird Discount","Direct","2024-05-16","3100","158","8","0.0506","0","130","","USD"
"CMP202407","Local Community Drive","Affiliate","2024-05-18","7900","410","34","0.0829","250","480","0.92","USD"
"CMP202408","Winter Clearance","Paid Search","2024-05-19","15800","980","109","0.1112","920","2550","1.7717","USD"
"CMP202409","Refer a Friend","Display Ads","2024-05-19","11700","590","56","0.0949","400","950","1.375","USD"
"CMP202412","Holiday Blast 2024","Organic Search","2024-05-20","11200","860","58","0.0674","0","1400","","USD"
"CMP202404","Spring Surge 2024","Social Media","2024-05-21","16060","900","90","0.1","520","1400","1.6923","USD"
"CMP202419","Back to School Promo","Other","2024-05-21","4600","198","10","0.0505","34","73","1.1471","USD"
"CMP202405","Q2 Product Launch","Email","2024-05-22","8600","495","77","0.1556","215","960","3.4651","USD"
"CMP202410","Summer Savings","Direct","2024-05-22","4800","220","13","0.0591","0","280","","USD"
"CMP202413","Flash Sale","Paid Search","2024-05-23","13900","780","85","0.1089","800","1750","1.1875","USD"
"CMP202414","VIP Launch","Social Media","2024-05-23","11300","580","68","0.1172","360","1050","1.9167","USD"
"CMP202406","Early Bird Discount","Affiliate","2024-05-24","4200","185","12","0.0649","94","160","0.7021","USD"
"CMP202407","Local Community Drive","Display Ads","2024-05-25","9600","430","38","0.0884","270","530","0.963","USD"
"CMP202408","Winter Clearance","Other","2024-05-25","3200","120","8","0.0667","30","63","1.1","USD"
"CMP202409","Refer a Friend","Email","2024-05-26","5700","310","31","0.1","92","310","2.3696","USD"
"CMP202412","Holiday Blast 2024","Direct","2024-05-26","5900","260","14","0.0538","0","210","","USD"
"CMP202404","Spring Surge 2024","Paid Search","2024-05-27","12000","970","120","0.1237","895","2400","1.681","USD"
"CMP202419","Back to School Promo","Organic Search","2024-05-27","10500","770","53","0.0688","0","1150","","USD"
"CMP202405","Q2 Product Launch","Social Media","2024-05-28","15700","1080","112","0.1037","670","1750","1.6119","USD"
"CMP202410","Summer Savings","Display Ads","2024-05-28","12600","610","52","0.0852","470","900","0.9149","USD"
"CMP202413","Flash Sale","Affiliate","2024-05-29","5100","312","23","0.0737","121","190","0.5702","USD"
"CMP202414","VIP Launch","Paid Search","2024-05-29","8900","620","69","0.1113","540","1360","1.5185","USD"
"CMP202406","Early Bird Discount","Social Media","2024-05-30","6200","350","38","0.1086","210","440","1.0952","USD"
"CMP202407","Local Community Drive","Email","2024-05-30","5400","320","52","0.1625","128","430","2.3594","USD"
"CMP202408","Winter Clearance","Direct","2024-05-31","3400","150","9","0.06","0","65","","USD"
